
2024/06/20 (14:17:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/20 (14:18:31) | ===> btop++ v.1.3.2
2024/06/20 (14:18:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:18:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:18:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:18:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:18:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/20 (14:18:31) | ERROR: Invalid size of hex value: 1e1e2e10

2024/06/20 (14:18:46) | ===> btop++ v.1.3.2
2024/06/20 (14:18:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:18:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:18:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:18:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:18:46) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/20 (14:18:46) | ERROR: Invalid size of hex value: 1e1e2eff

2024/06/20 (14:19:38) | ===> btop++ v.1.3.2
2024/06/20 (14:19:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:19:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:19:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:19:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:19:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/20 (14:19:38) | ERROR: Invalid size of hex value: 1e1e2e50

2024/06/20 (14:19:54) | ===> btop++ v.1.3.2
2024/06/20 (14:19:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:19:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:19:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:19:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:19:54) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/20 (14:19:54) | ERROR: Invalid size of hex value: 1e1e2e99

2024/06/20 (14:20:54) | ===> btop++ v.1.3.2
2024/06/20 (14:20:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:20:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:20:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:20:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:20:54) | WARNING: ROCm SMI: Failed to get PCIe throughput
